ts_code,name,up_limit_times
002717.SZ,岭南股份,41
002693.SZ,双成药业,40
600889.SH,南京化纤,32
002713.SZ,东易日盛,32
600589.SH,大位科技,31
002640.SZ,跨境通,31
002861.SZ,瀛通通讯,30
002583.SZ,海能达,29
000062.SZ,深圳华强,28
600187.SH,国中水务,27
000536.SZ,华映科技,27
000016.SZ,深康佳A,27
000880.SZ,潍柴重机,27
600650.SH,锦江在线,27
002251.SZ,步步高,26
002272.SZ,川润股份,26
002094.SZ,青岛金王,26
002369.SZ,卓翼科技,25
000759.SZ,中百集团,25
600666.SH,奥瑞德,25
000158.SZ,常山北明,24
002685.SZ,华东重机,24
000981.SZ,山子高科,24
600303.SH,曙光股份,23
603958.SH,哈森股份,23
603117.SH,万林物流,23
000679.SZ,大连友谊,23
000004.SZ,国华网安,23
002031.SZ,巨轮智能,23
002816.SZ,和科达,23
000859.SZ,国风新材,23
600340.SH,华夏幸福,23
603268.SH,松发股份,23
603389.SH,亚振家居,23
600843.SH,上工申贝,22
002529.SZ,海源复材,22
000627.SZ,天茂集团,22
002700.SZ,新疆浩源,22
002667.SZ,威领股份,22
600624.SH,复旦复华,22
002403.SZ,爱仕达,22
601086.SH,国芳集团,22
002175.SZ,东方智造,22
601933.SH,永辉超市,22
000882.SZ,华联股份,21
600530.SH,交大昂立,21
600881.SH,亚泰集团,21
002691.SZ,冀凯股份,20
603825.SH,华扬联众,20
002542.SZ,中化岩土,20
603887.SH,城地香江,20
002122.SZ,汇洲智能,20
000678.SZ,襄阳轴承,20
603366.SH,日出东方,20
603106.SH,恒银科技,20
600611.SH,大众交通,20
600778.SH,友好集团,20
000595.SZ,宝塔实业,20
603716.SH,塞力医疗,20
000980.SZ,众泰汽车,20
000056.SZ,皇庭国际,19
603955.SH,大千生态,19
603188.SH,亚邦股份,19
002131.SZ,利欧股份,19
600579.SH,中化装备,19
603666.SH,亿嘉和,19
000520.SZ,凤凰航运,19
002261.SZ,拓维信息,19
000564.SZ,供销大集,19
002427.SZ,尤夫股份,19
000953.SZ,河化股份,19
600693.SH,东百集团,19
600421.SH,华嵘控股,19
600841.SH,动力新科,19
002570.SZ,贝因美,19
603991.SH,至正股份,19
002730.SZ,电光科技,19
603166.SH,福达股份,19
603900.SH,莱绅通灵,19
600590.SH,泰豪科技,19
600839.SH,四川长虹,19
603038.SH,华立股份,18
603626.SH,科森科技,18
002607.SZ,中公教育,18
600622.SH,光大嘉宝,18
600193.SH,创兴资源,18
002076.SZ,星光股份,18
002086.SZ,东方海洋,18
002629.SZ,仁智股份,18
000903.SZ,云内动力,18
600653.SH,申华控股,18
603803.SH,瑞斯康达,18
600686.SH,金龙汽车,18
600550.SH,保变电气,18
002501.SZ,利源股份,18
002313.SZ,日海智能,18
605179.SH,一鸣食品,18
603030.SH,全筑股份,18
002269.SZ,美邦服饰,18
002253.SZ,川大智胜,18
600619.SH,海立股份,18
603278.SH,大业股份,18
002178.SZ,延华智能,18
002582.SZ,好想你,18
600355.SH,精伦电子,18
600292.SH,远达环保,18
002596.SZ,海南瑞泽,18
600375.SH,汉马科技,17
000702.SZ,正虹科技,17
000560.SZ,我爱我家,17
600203.SH,福日电子,17
002418.SZ,康盛股份,17
605398.SH,新炬网络,17
003021.SZ,兆威机电,17
002829.SZ,星网宇达,17
600172.SH,黄河旋风,17
600171.SH,上海贝岭,17
002347.SZ,泰尔股份,17
002265.SZ,建设工业,17
001212.SZ,中旗新材,17
603196.SH,日播时尚,17
002611.SZ,东方精工,17
600126.SH,杭钢股份,17
603068.SH,博通集成,17
